source_record,normalised_name,unii,inchikey,candidate_pages,candidate_count
frdb-compound:59595:GLUMETINIB,glumetinib,,,K1:7JTT036WGX,1
frdb-compound:59604:LANRAPLENIB,lanraplenib,,,K1:A6U64OU57E,1
frdb-compound:59609:ARQ-531,arq531,,,K1:JTZ51LIXN4,1
frdb-compound:59611:LEROCICLIB,lerociclib,,,K1:WBH8AY6ENB,1
frdb-compound:59615:ARRY-382,arry382,,,K2:JUPOTOIJLKDAPF-UHFFFAOYSA-N,1
frdb-compound:59617:USL-311,usl311,,,K1:2BTG5MX2Q2,1
frdb-compound:59624:CB-103,cb103,,,K1:Q5BB91JL0V,1
frdb-compound:59625:ETAVOPIVAT,etavopivat,,,K1:V4E0A9M44Q,1
frdb-compound:59628:VODOBATINIB,vodobatinib,,,K1:N8Q12KU2SW,1
frdb-compound:59629:FIRSOCOSTAT,firsocostat,,,K1:XE10NJQ95M,1
frdb-compound:59630:BLU-782,blu782,,,K1:KF4ZI0CJ7M,1
frdb-compound:59631:RP-3500,rp3500,,,K1:S1Z7Y5G56T,1
frdb-compound:59632:LY-3295668,ly3295668,,,K1:1WX8O5XV4R,1
frdb-compound:59634:ODM-207,odm207,,,K1:BL5NEF7JDK,1
frdb-compound:59637:BMS-986142,bms986142,,,K1:PJX9GH268R,1
frdb-compound:59640:AZD-2423,azd2423,,,K3:CHEMBL3545221,1
frdb-compound:59643:DANICOPAN,danicopan,,,K1:JM8C1SFX0U,1
frdb-compound:59645:SAR-439859,sar439859,,,K1:TBF1NHY02O,1
frdb-compound:59648:CHIAURANIB,chiauranib,,,K1:F40IRN5981,1
frdb-compound:59652:IZENCITINIB,izencitinib,,,K1:2ZT81PV5UM,1
frdb-compound:59653:PF-06835919,pf06835919,,,K1:EC2P9H3A8S,1
frdb-compound:59654:ZAPNOMETINIB,zapnometinib,,,K1:4RZD8LK83V,1
frdb-compound:59656:TROPIFEXOR,tropifexor,,,K1:NMZ08KM76Z,1
frdb-compound:59657:NIDUFEXOR,nidufexor,,,K1:CJ1PL0TE6J,1
frdb-compound:59661:ENPATORAN,enpatoran,,,K1:7CZ390V26X,1
frdb-compound:59663:VOROLANIB,vorolanib,,,K1:YP8G3I74EL,1
frdb-compound:59664:TOLEBRUTINIB,tolebrutinib,,,K1:8CZ82ZYY9X,1
frdb-compound:59665:RILZABRUTINIB,rilzabrutinib,,,K1:5G1WE425BI|K1:NWN58M4F5T,2
frdb-compound:59667:ALFLUTINIB,alflutinib,,,K1:A49A7A5YN4,1
frdb-compound:59669:FLUZOPARIB,fluzoparib,,,K1:TWF0ML1CK8,1
