schedule_code,item_number,primary_name,substance,reason
MDA-Sch1-Part1-ClassA,17A,2-(Methylamino)-1-(4-methylphenyl)butan-1-one,2-(Methylamino)-1-(4-methylphenyl)butan-1-one (also known as 4‑Methylbuphedrone or 4-Me-MABP),resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,18,2-(Methylamino)-1-phenylbutan-1-one,2-(Methylamino)-1-phenylbutan-1-one (also known as buphedrone),resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,19,2-(Methylamino)-1-phenylpentan-1-one,2-(Methylamino)-1-phenylpentan-1-one (also known as pentedrone or α-Methylaminovalerophenone),resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,20A,1-(3-Methylphenyl)-2-(methylamino)propan-1-one,"1-(3-Methylphenyl)-2-(methylamino)propan-1-one (also known as 3-methylmethcathinone, metaphedrone or 3-MMC)",resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,22,1-(4-Methylphenyl)-2-(pyrrolidin-1-yl)butan-1-one,1-(4-Methylphenyl)-2-(pyrrolidin-1-yl)butan-1-one (also known as MPBP),resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,22A,1-(4-Methylphenyl)-2-(pyrrolidin-1-yl)hexan-1-one,1-(4-Methylphenyl)-2-(pyrrolidin-1-yl)hexan-1-one (also known as 4‑Methyl-α-pyrrolidinohexanophenone or MPHP),resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,23A,1-(4-Methylphenyl)-2-(pyrrolidin-1-yl)propan-1-one,1-(4-Methylphenyl)-2-(pyrrolidin-1-yl)propan-1-one (also known as 4‑Methyl-α-pyrrolidinopropiophenone or 4-MePPP),resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,24,1-Phenyl-2-(pyrrolidin-1-yl)butan-1-one,1-Phenyl-2-(pyrrolidin-1-yl)butan-1-one (also known as α-PBP),resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,24A,1-Phenyl-2-(pyrrolidin-1-yl)hexan-1-one,1-Phenyl-2-(pyrrolidin-1-yl)hexan-1-one (also known as Alpha‑Pyrrolidinohexiophenone or Alpha-PHP or α-PHP),resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,26,1-Phenyl-2-(pyrrolidin-1-yl)propan-1-one,1-Phenyl-2-(pyrrolidin-1-yl)propan-1-one (also known as α-PPP),no FDA UNII record for any name in the entry
