alpelisib	APPROVED_MEDICINE	FDA Approved	Small Molecule
fermented-tea	SUPPLEMENT_INGREDIENT	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
ambrisentan	APPROVED_MEDICINE	FDA Approved	Small Molecule
meriones-unguiculatus-skin	INVESTIGATIONAL_MEDICINE	Pre-clinical / Open Source	Nutraceutical / Botanical
amitrole	MARKETED_PRODUCT_INGREDIENT	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
colchicum-autumnale-flower	BOTANICAL_OR_ORGANISM_PREPARATION	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
lactobacillus-plantarum	SUPPLEMENT_INGREDIENT	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
lovage	BOTANICAL_OR_ORGANISM_PREPARATION	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
flax-protein	SUPPLEMENT_INGREDIENT	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
handroanthus-impetiginosus-bark	BOTANICAL_OR_ORGANISM_PREPARATION	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
abacavir	APPROVED_MEDICINE	FDA Approved	Small Molecule
fiber-blend	SUPPLEMENT_INGREDIENT	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
aluminum-chlorohydrate	APPROVED_MEDICINE	FDA Approved	Small Molecule
flower-pollen	SUPPLEMENT_INGREDIENT	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
aminolevulinic-acid	APPROVED_MEDICINE	FDA Approved	Small Molecule
berberine	SUPPLEMENT_INGREDIENT	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
abelmoschus-moschatus-seed	BOTANICAL_OR_ORGANISM_PREPARATION	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
tilia-cordata-flower	BOTANICAL_OR_ORGANISM_PREPARATION	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
betamethasone	APPROVED_MEDICINE	FDA Approved	Small Molecule
tea-tree	BOTANICAL_OR_ORGANISM_PREPARATION	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
bethanechol	APPROVED_MEDICINE	FDA Approved	Small Molecule
atractylodes-macrocephala-root	BOTANICAL_OR_ORGANISM_PREPARATION	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
glycyrrhiza-glabra-root-powder	SUPPLEMENT_INGREDIENT	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
menyanthes-trifoliata-whole	BOTANICAL_OR_ORGANISM_PREPARATION	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
benazepril	APPROVED_MEDICINE	FDA Approved	Small Molecule
crovalimab	INVESTIGATIONAL_MEDICINE	Pre-clinical / Open Source	Monoclonal Antibody (mAb)
manganese-difluoride	SUPPLEMENT_INGREDIENT	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
squid	SUPPLEMENT_INGREDIENT	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
cefiderocol	APPROVED_MEDICINE	FDA Approved	Small Molecule
brain-derived-neurotrophic-factor-human	SUPPLEMENT_INGREDIENT	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
delphinidin	SUPPLEMENT_INGREDIENT	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
betibeglogene-autotemcel	INVESTIGATIONAL_MEDICINE	Pre-clinical / Open Source	CRISPR / Gene Therapy
arsenic	SUPPLEMENT_INGREDIENT	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
aluminum-zirconium-octachlorohydrex-gly	APPROVED_MEDICINE	FDA Approved	Small Molecule
bevacizumab-tnjn	APPROVED_BIOLOGIC	FDA Approved	Recombinant Protein / Biologic
fomitopsis-pinicola-fruiting-body	SUPPLEMENT_INGREDIENT	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
bimatoprost	APPROVED_MEDICINE	FDA Approved	Small Molecule
amaryllis-belladonna-whole	BOTANICAL_OR_ORGANISM_PREPARATION	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
amivantamab-and-hyaluronidase-lpuj	APPROVED_BIOLOGIC	FDA Approved	Recombinant Protein / Biologic
forsythia	BOTANICAL_OR_ORGANISM_PREPARATION	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
arsenic-tribromide	SUPPLEMENT_INGREDIENT	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
ambrosia-artemisiifolia-pollen	BOTANICAL_OR_ORGANISM_PREPARATION	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
tetracosanol	SUPPLEMENT_INGREDIENT	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
geranium-robertianum-whole	BOTANICAL_OR_ORGANISM_PREPARATION	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
hawthorn	BOTANICAL_OR_ORGANISM_PREPARATION	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
bisoprolol	APPROVED_MEDICINE	FDA Approved	Small Molecule
