key,tier,displayName,has_unii,has_inchikey,is_combination
K1:0S9A4XK1WT,3,Dabocemagene autoficel,True,False,False
K1:0SHO53407G,2,Psyllium husk,True,False,False
K1:0SLJ2C1IHA,3,Bos Taurus Urinary Bladder,True,False,False
K1:0SOY20O318,3,Zaltenibart,True,False,False
K1:0SVP95L23G,3,Rubia Tinctorum Root,True,False,False
K1:0T0250N43U,3,Peginterferon lambda-1a,True,False,False
K1:0T0DQN8786,2,Thuja Occidentalis Leaf,True,False,False
K1:0T69CA5LQA,3,RO-5429083,True,False,False
K1:0TNN3Q0D4D,3,Polycyclic Aromatic Hydrocarbons,True,False,False
K1:0TUP42692Z,3,Corydalis Yanhusuo Tuber,True,False,False
K1:0TVP714IPW,2,Quercus Acutissima Whole,True,False,False
K1:0U790UB32K,3,Citrus Sinensis Pollen,True,False,False
K1:0UB3OA67O7,2,Marstacimab,True,False,False
K1:0UB3OA67O7#hncq,2,Marstacimab-Hncq,True,False,False
K1:0UE22Q87VC,1,Apple Cider Vinegar,True,False,False
K1:0UNK9RZQ7X,3,Lingonberry,True,False,False
K1:0UQK6O82OW,2,Artemisia Annua Flowering Top,True,False,False
K1:0UVP9AC86N,3,Liatris Spicata Root,True,False,False
K1:0V3J4YEX2W,3,Ustilago Cynodontis,True,False,False
K1:0V564J05CA,3,Camellia Chekiangoleosa Seed Oil,True,False,False
K1:0VLM3TE44K,3,Vespula Vulgaris Whole,True,False,False
K1:0VYG5PVN5Q,2,Eutrochium Purpureum Root,True,False,False
K1:0W913N2K5N,3,Ailanthus Altissima Fruit,True,False,False
K1:0W9O574LE8,2,Bromus Ramosus Flower,True,False,False
K1:0X8Q245Y7B,3,Chicken,True,False,False
K1:0XH1TH76XZ,3,American Chestnut,True,False,False
K1:0XMR8L9LOL,3,Mezagitamab,True,False,False
K1:0Y3L4J38H1,3,Kale,True,False,False
K1:0Y70779M1F,2,Botulinum Toxin Type B,True,False,False
K1:0Y8U0650U5,3,Gadodenterate,True,False,False
K1:0Z70DT5PRX,1,Dusigitumab,True,False,False
K1:0ZK6G3W3BI,3,Xanthium Strumarium Var. Canadense Pollen,True,False,False
K1:0ZN0AQ6SBV,3,TD-2749,False,True,False
K1:0ZQ1D2FDLI,3,Billygoat Plum,True,False,False
K1:1000BJC8CR,3,Trastuzumab rezetecan,True,False,False
K1:101I4J0U34,2,Witch Hazel,True,False,False
K1:102VUR9WQE,3,PACANALOTAMAB,True,False,False
K1:104010O5VU,2,Angostura Bark,True,False,False
K1:10464S0TAA,2,Teucrium Marum,True,False,False
K1:105J35OE21,2,Aducanumab,True,False,False
K1:105J35OE21#avwa,1,Aducanumab-avwa,True,False,False
K1:1085871XJA,3,Pine Nut,True,False,False
K1:10AX0OV0LC,3,Bartonella Clarridgeiae DNA,True,False,False
K1:10E3O6YI4W,3,Rinucumab,True,False,False
K1:10T15Y9F0M,3,Astragalus Gummifer Root,True,False,False
K1:10TCS27K2T,3,Prunus Armeniaca Whole,True,False,False
K1:10VSMQY402,3,Veverimer,True,False,False
K1:10WR240QN7,3,Pegenzileukin,True,False,False
K1:111EN0IJ7C,3,KHK-2866,True,False,False
K1:112YH1ZMX2,3,Lima Bean,True,False,False
K1:113E3Z3CJJ,2,Moroctocog alfa,True,False,False
K1:1158JD1P9A,3,Mavrilimumab,True,False,False
K1:1162N20M3O,3,Lupinus Elegans Whole,True,False,False
K1:1172Y38G55,3,Meglucycline,True,True,False
K1:1178E5679M,3,Dianthus Superbus Flowering Top,True,False,False
K1:118OYG6W3H,3,Sus Scrofa Umbilical Cord,True,False,False
K1:11982A05XX,3,Taraxacum Sinicum Whole,True,False,False
K1:11B89M58UN,2,Amaryllis Belladonna Whole,True,False,False
K1:11DRN01OK2,3,Goflikicept,True,False,False
K1:11E6VI8VEG,2,Phytolacca Americana Root,True,False,False
K1:11I0GD34ZJ,3,Draba Verna Whole,True,False,False
K1:11JCK302I4,3,Canis Lupus Familiaris Dander,True,False,False
K1:11R319D14O,3,Millettia Pinnata Whole,True,False,False
K1:11T51Q3082,3,Fasinumab,True,False,False
K1:11T9HCO30O,3,Proteus Vulgaris,True,False,False
K1:123C43G128,3,Zedoary,True,False,False
K1:123I05210W,3,Ozanezumab,True,False,False
K1:123T84GFBH,2,Melilotus Albus Top,True,False,False
K1:125DP6010H,1,Polyestradiol,True,False,False
K1:128UH9LOAE,3,Broccoli Sprout,True,False,False
K1:12958C0BR3,3,Thuja Occidentalis Root,True,False,False
