page_a,page_b,width,jaccard,indexable_a,indexable_b
lactococcus-rhamnosus,rupturewort,390,0.9647,false,false
lactococcus-rhamnosus,siler,390,0.9647,false,false
lactococcus-rhamnosus,testes,390,0.9647,false,false
massularia-acuminata,millettia,390,0.9647,false,false
massularia-acuminata,peptidase,390,0.9647,false,false
massularia-acuminata,pokeweed,390,0.9647,false,false
massularia-acuminata,pseudostellaria,390,0.9647,false,false
massularia-acuminata,rupturewort,390,0.9647,false,false
massularia-acuminata,siler,390,0.9647,false,false
massularia-acuminata,testes,390,0.9647,false,false
millettia,oxytropis-falcate,390,0.9647,false,false
millettia,pacific-yew,390,0.9647,false,false
millettia,palm-wax,390,0.9647,false,false
millettia,pseudomonas-calcis,390,0.9647,false,false
millettia,rehmannia-elata,390,0.9647,false,false
millettia,short-buchu,390,0.9647,false,false
millettia,sichuan-lovage,390,0.9647,false,false
millettia,taxillus-chinensis,390,0.9647,false,false
millettia,thymus-satureioides,390,0.9647,false,false
millettia,tiger-nut,390,0.9647,false,false
millettia,valine-pyroglutamate,390,0.9647,false,false
millettia,white-willow,390,0.9647,false,false
millettia,wild-bergamot,390,0.9647,false,false
oxytropis-falcate,peptidase,390,0.9647,false,false
oxytropis-falcate,pokeweed,390,0.9647,false,false
oxytropis-falcate,pseudostellaria,390,0.9647,false,false
oxytropis-falcate,rupturewort,390,0.9647,false,false
oxytropis-falcate,siler,390,0.9647,false,false
oxytropis-falcate,testes,390,0.9647,false,false
pacific-yew,peptidase,390,0.9647,false,false
pacific-yew,pokeweed,390,0.9647,false,false
pacific-yew,pseudostellaria,390,0.9647,false,false
pacific-yew,rupturewort,390,0.9647,false,false
pacific-yew,siler,390,0.9647,false,false
pacific-yew,testes,390,0.9647,false,false
palm-wax,peptidase,390,0.9647,false,false
palm-wax,pokeweed,390,0.9647,false,false
palm-wax,pseudostellaria,390,0.9647,false,false
palm-wax,rupturewort,390,0.9647,false,false
palm-wax,siler,390,0.9647,false,false
palm-wax,testes,390,0.9647,false,false
peptidase,pseudomonas-calcis,390,0.9647,false,false
peptidase,rehmannia-elata,390,0.9647,false,false
peptidase,short-buchu,390,0.9647,false,false
peptidase,sichuan-lovage,390,0.9647,false,false
peptidase,taxillus-chinensis,390,0.9647,false,false
peptidase,thymus-satureioides,390,0.9647,false,false
peptidase,tiger-nut,390,0.9647,false,false
peptidase,valine-pyroglutamate,390,0.9647,false,false
peptidase,white-willow,390,0.9647,false,false
peptidase,wild-bergamot,390,0.9647,false,false
pokeweed,pseudomonas-calcis,390,0.9647,false,false
pokeweed,rehmannia-elata,390,0.9647,false,false
pokeweed,short-buchu,390,0.9647,false,false
pokeweed,sichuan-lovage,390,0.9647,false,false
pokeweed,taxillus-chinensis,390,0.9647,false,false
pokeweed,thymus-satureioides,390,0.9647,false,false
pokeweed,tiger-nut,390,0.9647,false,false
pokeweed,valine-pyroglutamate,390,0.9647,false,false
pokeweed,white-willow,390,0.9647,false,false
pokeweed,wild-bergamot,390,0.9647,false,false
pseudomonas-calcis,pseudostellaria,390,0.9647,false,false
