key,current_display_name,disambiguated_display_name,disambiguator,disambiguator_source,collides_on,collides_with,applies_to
K2:DDOAQMGXVXFNSH-UHFFFAOYSA-N,Becampanel,Becampanel (structure DDOAQMGXVXFNSH),structure DDOAQMGXVXFNSH,InChIKey skeleton,becampanel,K1:X3D0O800AJ,page-title
K2:FPAFDBFIGPHWGO-UHFFFAOYSA-N,TALC,TALC (H2Mg3O12Si4),H2Mg3O12Si4,molecular formula,talc,K2:XBPUDTAATCFDRE-UHFFFAOYSA-N,page-title
K2:FVWPYVZWVOLAOP-DQEYMECFSA-N,Daglutril,Daglutril (structure FVWPYVZWVOLAOP),structure FVWPYVZWVOLAOP,InChIKey skeleton,daglutril,K1:KKV299446X,page-title
K2:FYMVGXGSNIVSKY-NRFANRHFSA-N,CPD-2,CPD-2 (C23H19N5O),C23H19N5O,molecular formula,cpd 2,K2:BXDZOYLPNAIDOC-UHFFFAOYSA-N;K2:JGQPZPLJOBHHBK-UFXYQILXSA-N;K2:QUQTXFIMYFMULC-OGOZKGDESA-N,page-title
K2:GIPHUOWOTCAJSR-NCGAPWICSA-N,REBAUDIOSIDE A,REBAUDIOSIDE A (structure GIPHUOWOTCAJSR),structure GIPHUOWOTCAJSR,InChIKey skeleton,rebaudioside a,K1:B3FUD0528F,page-title
K2:IAKPXYFFBURVCV-JWDANJKUSA-N,Subasumstat,Subasumstat (structure IAKPXYFFBURVCV),structure IAKPXYFFBURVCV,InChIKey skeleton,subasumstat,K1:XQ43H3V6M1,page-title
K2:IERWCEALNGTKIK-UHFFFAOYSA-N,Gallopamil,Gallopamil (C26H36N2O3),C26H36N2O3,molecular formula,gallopamil,K1:39WPC8JHR8,page-title
K2:JBUKJLNBQDQXLI-UHFFFAOYSA-N,SODIUM PERBORATE,SODIUM PERBORATE (H4B2Na2O8),H4B2Na2O8,molecular formula,sodium perborate,K1:Y52BK1W96C,page-title
K2:JFAXVZXNIGIDDA-ABBKQRNASA-N,Bolandiol,Bolandiol (C24H36O4),C24H36O4,molecular formula,bolandiol,K1:49SD6G16U5,page-title
K2:JGQPZPLJOBHHBK-UFXYQILXSA-N,CPD 2,CPD 2 (C42H45ClN8O7S),C42H45ClN8O7S,molecular formula,cpd 2,K2:BXDZOYLPNAIDOC-UHFFFAOYSA-N;K2:FYMVGXGSNIVSKY-NRFANRHFSA-N;K2:QUQTXFIMYFMULC-OGOZKGDESA-N,page-title
K2:KKMZWHRTQLNOCF-UHFFFAOYSA-N,PI5P4K¦Á-IN-1,PI5P4K¦Á-IN-1 (C20H17N3O2S),C20H17N3O2S,molecular formula,pi5p4k in 1,K2:VGFHPNRWHOQLEB-UHFFFAOYSA-N,page-title
K2:MHHDXUNFNAZUGB-UHFFFAOYSA-N,Vanadyl,Vanadyl (OV+2),OV+2,molecular formula,vanadyl,K1:ET7948FWOY,page-title
K2:MKDALIOACIEUJM-XCFCBFDASA-N,Voxilaprevir,Voxilaprevir (C42H58F2N6O9S),C42H58F2N6O9S,molecular formula,voxilaprevir,K1:0570F37359,page-title
K2:MNUMHDZZMWCBBX-JWAQYZNWSA-N,FUCOXANTHIN,FUCOXANTHIN (C40H56O6),C40H56O6,molecular formula,fucoxanthin,K1:06O0TC0VSM,page-title
K2:MOQADKPFYVWPSE-UHFFFAOYSA-N,ARSENIC TRIOXIDE,ARSENIC TRIOXIDE (structure MOQADKPFYVWPSE),structure MOQADKPFYVWPSE,InChIKey skeleton,arsenic trioxide,K1:S7V92P67HO,page-title
K2:OQUXVPJVBSENGK-QXMHVHEDSA-N,Manitimus,Manitimus (C14H10F3N3O2),C14H10F3N3O2,molecular formula,manitimus,K1:4B135RK2KL,page-title
K2:PSOXOVKYGWBTPB-UHFFFAOYSA-N,COMPOUND 17,COMPOUND 17 (C29H28F3NO5S2),C29H28F3NO5S2,molecular formula,compound 17,K2:SEDFZSHSBUXKAC-NIYFSFCBSA-N,page-title
K2:QUPDWYMUPZLYJZ-UHFFFAOYSA-N,Ethyl,Ethyl (C2H5),C2H5,molecular formula,ethyl,K1:46U771ERWK;K1:555U6TZ2MV,page-title
K2:QUQTXFIMYFMULC-OGOZKGDESA-N,CPD 2,CPD 2 (C55H68N8O13S2),C55H68N8O13S2,molecular formula,cpd 2,K2:BXDZOYLPNAIDOC-UHFFFAOYSA-N;K2:FYMVGXGSNIVSKY-NRFANRHFSA-N;K2:JGQPZPLJOBHHBK-UFXYQILXSA-N,page-title
K2:QWJSAWXRUVVRLH-UHFFFAOYSA-M,CHOLINE BITARTRATE,CHOLINE BITARTRATE (C9H19NO7),C9H19NO7,molecular formula,choline,K1:45I14D8O27;K1:7THJ3EG9SY;K1:KD510K1IQW;K1:N91BDP6H0X,page-title
K2:RBOKLZGCVRXGEP-XTQSDGFTSA-N,AG-24322,AG-24322 (structure RBOKLZGCVRXGEP),structure RBOKLZGCVRXGEP,InChIKey skeleton,ag 24322,K1:926F8X7TNO,page-title
K2:REACBNMPQDINOF-YBBIQVIJSA-N,Nandrolone,Nandrolone (C28H38O3),C28H38O3,molecular formula,nandrolone,K1:6PG9VR430D,page-title
K2:RNBGYGVWRKECFJ-VRPWFDPXSA-N,Fosfructose,Fosfructose (structure RNBGYGVWRKECFJ),structure RNBGYGVWRKECFJ,InChIKey skeleton,fosfructose,K1:M7522JYX1H,page-title
K2:SEDFZSHSBUXKAC-NIYFSFCBSA-N,COMPOUND 17,COMPOUND 17 (C27H26N6O),C27H26N6O,molecular formula,compound 17,K2:PSOXOVKYGWBTPB-UHFFFAOYSA-N,page-title
K2:SQVRNKJHWKZAKO-USOVHJGOSA-N,Aceneuramic acid,Aceneuramic acid (structure SQVRNKJHWKZAKO),structure SQVRNKJHWKZAKO,InChIKey skeleton,aceneuramic acid,K1:GZP2782OP0,page-title
K2:USVCWSAJUAARAL-MEMLXQNLSA-N,AEW-541,AEW-541 (C26H27N5O),C26H27N5O,molecular formula,aew 541,K2:AECDBHGVIIRMOI-UHFFFAOYSA-N,page-title
K2:VGFHPNRWHOQLEB-UHFFFAOYSA-N,PI5P4K¦Ã-IN-1,PI5P4K¦Ã-IN-1 (C20H20N4O),C20H20N4O,molecular formula,pi5p4k in 1,K2:KKMZWHRTQLNOCF-UHFFFAOYSA-N,page-title
K2:VIUWNARVSJPVFA-UHFFFAOYSA-N,APILIMOD,APILIMOD (C18H18N2O4S),C18H18N2O4S,molecular formula,apilimod,K1:GFW2K84S4L,page-title
K2:VNYGDSNUPVEJKI-IWBCJCCCSA-N,PHYTOL,PHYTOL (C19H38O),C19H38O,molecular formula,phytol,K1:MZQ4XE15TP,page-title
K2:VVZBFOKBSDGVGZ-UHFFFAOYSA-N,Benzalkonium chloride,Benzalkonium chloride (UNII 7N6JUD5X6Y),UNII 7N6JUD5X6Y,FDA UNII,benzalkonium,K1:F5UM2KM3W7,page-title
K2:WPWHSFAFEBZWBB-UHFFFAOYSA-N,Butyl,Butyl (C4H9),C4H9,molecular formula,butyl,K1:ZP7R667SGD,page-title
K2:WQZGKKKJIJFFOK-SVZMEOIVSA-N,D-GALACTOSE,D-GALACTOSE (structure WQZGKKKJIJFFOK),structure WQZGKKKJIJFFOK,InChIKey skeleton,galactose,K1:X2RN3Q8DNE,page-title
K2:WYYHVSBTBUAWJC-UHFFFAOYSA-N,TETRACHLORODECAOXIDE ANHYDROUS,TETRACHLORODECAOXIDE ANHYDROUS (H4Cl4O10),H4Cl4O10,molecular formula,tetrachlorodecaoxide,K1:549BT7IE1Q,page-title
K2:XBPUDTAATCFDRE-UHFFFAOYSA-N,TALC ANHYDROUS,TALC ANHYDROUS (Mg3O11Si4),Mg3O11Si4,molecular formula,talc,K2:FPAFDBFIGPHWGO-UHFFFAOYSA-N,page-title
K2:XDKMHMINQXATOR-RCFLUEAHSA-N,Plicamycin,Plicamycin (structure XDKMHMINQXATOR),structure XDKMHMINQXATOR,InChIKey skeleton,plicamycin,K1:NIJ123W41V,page-title
K2:XHKXWINHANRSNT-NRFANRHFSA-N,Dextromoramide,Dextromoramide (structure XHKXWINHANRSNT),structure XHKXWINHANRSNT,InChIKey skeleton,dextromoramide,K1:9S4S6CIY83,page-title
K2:XUFXOAAUWZOOIT-UGEKTDRHSA-N,Acarbose,Acarbose (structure XUFXOAAUWZOOIT),structure XUFXOAAUWZOOIT,InChIKey skeleton,acarbose,K1:T58MSI464G,page-title
K2:YFNWWNRZJGMDBR-UHFFFAOYSA-N,PF-00477736,PF-00477736 (structure YFNWWNRZJGMDBR),structure YFNWWNRZJGMDBR,InChIKey skeleton,pf 00477736,K1:XO23PGZ0SM,page-title
K2:YLSNESYAOIRZEA-AVPWDRFWSA-N,SALVIANOLIC ACID B,SALVIANOLIC ACID B (C36H32O16),C36H32O16,molecular formula,salvianolic acid b,K1:C1GQ844199,page-title
K2:ZCXUVYAZINUVJD-IVMDWMLBSA-N,FLUDEOXYGLUCOSE,FLUDEOXYGLUCOSE (UNII 0Z5B2CJX4D),UNII 0Z5B2CJX4D,FDA UNII,fludeoxyglucose,K1:ZO2JV75L55,page-title
COMBO:NAME:hawthorn leaf with flower,Hawthorn Leaf with Flower,Hawthorn Leaf with Flower (combination record),combination record,recorded composition,hawthorn leaf with flower,K1:6OM09RPY36,relation-label
COMBO:NAME:sennosides a and b,Sennosides A and B,Sennosides A and B (combination record),combination record,recorded composition,sennosides a and b,K1:1B5FPI42EN,relation-label
COMBO:NAME:technetium tc 99m pyro trimeta phosphates kit,Technetium Tc-99m Pyro/Trimeta Phosphates Kit,Technetium Tc-99m Pyro/Trimeta Phosphates Kit (combination record),combination record,recorded composition,technetium tc 99m pyro trimeta phosphates kit,K1:BYS4S947AR,relation-label
COMBO:NAME:varicella zoster virus strain oka merck live antigen,Varicella-Zoster Virus Strain Oka/Merck Live Antigen,Varicella-Zoster Virus Strain Oka/Merck Live Antigen (combination record),combination record,recorded composition,varicella zoster virus strain oka merck live antigen,K1:GPV39ZGD8C,relation-label
"COMBO:{K1:QLZ991V4A2,K1:TZ47U051FI}",DEXTROAMPHETAMINE SACCHARATE,DEXTROAMPHETAMINE SACCHARATE (combination record),combination record,recorded composition,dextroamphetamine saccharate,HOLD:existing:dextroamphetamine-saccharate,relation-label
HOLD:existing:dextroamphetamine-saccharate,Dextroamphetamine Saccharate,Dextroamphetamine Saccharate (single substance record),single substance record,recorded composition,dextroamphetamine saccharate,"COMBO:{K1:QLZ991V4A2,K1:TZ47U051FI}",relation-label
HOLD:existing:krypton-kr-81m,"Krypton, Kr-81m","Krypton, Kr-81m (recorded without stereochemistry)",recorded without stereochemistry,recorded stereochemistry,krypton kr 81m,K1:68QN45K12N,relation-label
HOLD:existing:urea-c-13,Urea C-13,Urea C-13 (recorded without stereochemistry),recorded without stereochemistry,recorded stereochemistry,urea c 13,K1:W6KX9E6D8X,relation-label
HOLD:existing:urea-c-14,"Urea, C-14","Urea, C-14 (recorded without stereochemistry)",recorded without stereochemistry,recorded stereochemistry,urea c 14,K1:WBZ6M63TEE,relation-label
HOLD:existing:xenon-xe-127,Xenon Xe-127,Xenon Xe-127 (recorded without stereochemistry),recorded without stereochemistry,recorded stereochemistry,xenon xe 127,K1:H95KBR1GDB,relation-label
K1:04Y7590D77,Isoleucine,Isoleucine (structure AGPKZVBTJJNPAG-WHFBIAKZSA-N),structure AGPKZVBTJJNPAG-WHFBIAKZSA-N,InChIKey,isoleucine,K1:V87GJA0G54,relation-label
K1:05ME7P8ZBJ,Detirelix,Detirelix (ChEMBL CHEMBL430351),ChEMBL CHEMBL430351,ChEMBL molecule identifier,detirelix,K2:OFQNFLLLCMQNEP-KQCGYNJJSA-N,relation-label
K1:05V02F2KDG,Rosiglitazone,Rosiglitazone (recorded without stereochemistry),recorded without stereochemistry,recorded stereochemistry,rosiglitazone,K1:3U8PBH2BON,relation-label
K1:0A7729F42K,Linrodostat,Linrodostat (ChEMBL CHEMBL4161733),ChEMBL CHEMBL4161733,ChEMBL molecule identifier,linrodostat,K2:KRTIYQIPSAGSBP-KLAILNCOSA-N,relation-label
K1:0KJ2VE664U,Terconazole,Terconazole (with recorded stereochemistry),with recorded stereochemistry,recorded stereochemistry,terconazole,K2:BLSQLHNBWJLIBQ-UHFFFAOYSA-N,relation-label
K1:0NG5TTM63P,Tramadol,Tramadol (with recorded stereochemistry),with recorded stereochemistry,recorded stereochemistry,tramadol,K2:TVYLLZQTGLZFBW-UHFFFAOYSA-N,relation-label
K1:0O54ZQ14I9,Aminoglutethimide,Aminoglutethimide (recorded without stereochemistry),recorded without stereochemistry,recorded stereochemistry,aminoglutethimide,K1:LUC985IS6T,relation-label
K1:0W9Q8U337A,Roniciclib,Roniciclib (ChEMBL CHEMBL4282338),ChEMBL CHEMBL4282338,ChEMBL molecule identifier,roniciclib,K2:UELYDGOOJPRWGF-MFOHZAOFSA-N,relation-label
K1:10A5O25ILE,Ketorolac,Ketorolac (with recorded stereochemistry),with recorded stereochemistry,recorded stereochemistry,ketorolac,K1:YZI5105V0L,relation-label
K1:1255AT22ZJ,Enitociclib,Enitociclib (with recorded stereochemistry),with recorded stereochemistry,recorded stereochemistry,enitociclib,K2:YZCUMZWULWOUMD-UHFFFAOYSA-N,relation-label
K1:189BFR45S0,Desvenlafaxine,Desvenlafaxine (with recorded stereochemistry),with recorded stereochemistry,recorded stereochemistry,desvenlafaxine,K1:NG99554ANW,relation-label
K1:1B5FPI42EN,Sennosides A And B,Sennosides A And B (single substance record),single substance record,recorded composition,sennosides a and b,COMBO:NAME:sennosides a and b,relation-label
K1:1P7H87IN75,Secobarbital,Secobarbital (recorded without stereochemistry),recorded without stereochemistry,recorded stereochemistry,secobarbital,K1:HX75939EI7,relation-label
K1:1U511HHV4Z,Mexiletine,Mexiletine (recorded without stereochemistry),recorded without stereochemistry,recorded stereochemistry,mexiletine,K1:UZX645YZ46,relation-label
K1:1V5135S169,Deximafen,Deximafen (recorded without stereochemistry),recorded without stereochemistry,recorded stereochemistry,deximafen,K2:VVLJQSJNPKNTAT-SNVBAGLBSA-N,relation-label
K1:1WAM1OQ30B,Pivmecillinam,Pivmecillinam (ChEMBL CHEMBL1616433),ChEMBL CHEMBL1616433,ChEMBL molecule identifier,pivmecillinam,K2:NPGNOVNWUSPMDP-UTEPHESZSA-N,relation-label
K1:1Y84986J9Q,Borneol,Borneol (with recorded stereochemistry),with recorded stereochemistry,recorded stereochemistry,borneol,K2:DTGKSKDOIYIVQL-UHFFFAOYSA-N,relation-label
K1:21334LVV8W,.ALPHA.-TERPINEOL,.ALPHA.-TERPINEOL (structure WUOACPNHFRMFPN-UHFFFAOYSA-N),structure WUOACPNHFRMFPN-UHFFFAOYSA-N,InChIKey,alpha terpineol,K1:21M14KDA67;K1:N9K6X87HU9,relation-label
K1:213N3S8275,(-)-CAMPHOR,(-)-CAMPHOR (structure DSSYKIVIOFKYAU-OIBJUYFYSA-N),structure DSSYKIVIOFKYAU-OIBJUYFYSA-N,InChIKey,camphor,K1:N20HL7Q941;K2:DSSYKIVIOFKYAU-UHFFFAOYSA-N,relation-label
K1:21M14KDA67,Alpha-Terpineol,Alpha-Terpineol (structure WUOACPNHFRMFPN-VIFPVBQESA-N),structure WUOACPNHFRMFPN-VIFPVBQESA-N,InChIKey,alpha terpineol,K1:21334LVV8W;K1:N9K6X87HU9,relation-label
K1:2334LJD2E9,7-KETO-DEHYDROEPIANDROSTERONE,7-KETO-DEHYDROEPIANDROSTERONE (structure KPRGOTLNGIBVFL-GINZOMEDSA-N),structure KPRGOTLNGIBVFL-GINZOMEDSA-N,InChIKey,7 keto dehydroepiandrosterone,K2:KPRGOTLNGIBVFL-VYLIMTTQSA-N,relation-label
K1:24H4NWX5CO,Kaolin,Kaolin (structure KGOIAFZMMLWXLM-UHFFFAOYSA-N),structure KGOIAFZMMLWXLM-UHFFFAOYSA-N,InChIKey,kaolin,K2:NLYAJNPCOHFWQQ-UHFFFAOYSA-N,relation-label
K1:2K5E83H3LL,Sibutramine,Sibutramine (with recorded stereochemistry),with recorded stereochemistry,recorded stereochemistry,sibutramine,K1:WV5EC51866,relation-label
K1:2N4O9L084N,Nabilone,Nabilone (with recorded stereochemistry),with recorded stereochemistry,recorded stereochemistry,nabilone,K2:GECBBEABIDMGGL-UHFFFAOYSA-N,relation-label
K1:2N9HM3X95F,Demoxytocin,Demoxytocin (ChEMBL CHEMBL439044),ChEMBL CHEMBL439044,ChEMBL molecule identifier,demoxytocin,K2:GTYWGUNQAMYZPF-FAJKJHJLSA-N,relation-label
K1:2R9B62A4A9,Methoxamine,Methoxamine (with recorded stereochemistry),with recorded stereochemistry,recorded stereochemistry,methoxamine,K2:WJAJPNHVVFWKKL-UHFFFAOYSA-N,relation-label
K1:2RDB26I5ZB,Parthenolide,Parthenolide (structure KTEXNACQROZXEV-ZRPLFPEYSA-N),structure KTEXNACQROZXEV-ZRPLFPEYSA-N,InChIKey,parthenolide,K2:KTEXNACQROZXEV-SLXBATTESA-N,relation-label
K1:2T6D2HPX7Q,Equol,Equol (structure ADFCQWZHKCXPAJ-GFCCVEGCSA-N),structure ADFCQWZHKCXPAJ-GFCCVEGCSA-N,InChIKey,equol,K1:2V8RAP1HXA,relation-label
K1:2V8RAP1HXA,Equol,Equol (structure ADFCQWZHKCXPAJ-LBPRGKRZSA-N),structure ADFCQWZHKCXPAJ-LBPRGKRZSA-N,InChIKey,equol,K1:2T6D2HPX7Q,relation-label
K1:2Y49VWD90Q,Yohimbine,Yohimbine (structure BLGXFZZNTVWLAY-SCYLSFHTSA-N),structure BLGXFZZNTVWLAY-SCYLSFHTSA-N,InChIKey,yohimbine,K1:3O5A4HTP2B,relation-label
K1:2Z97SF443Z,Trihexyphenidyl,Trihexyphenidyl (with recorded stereochemistry),with recorded stereochemistry,recorded stereochemistry,trihexyphenidyl,K1:6RC5V8B7PO,relation-label
K1:304NUG5GF4,Itraconazole,Itraconazole (with recorded stereochemistry),with recorded stereochemistry,recorded stereochemistry,itraconazole,K2:VHVPQPYKVGDNFY-UHFFFAOYSA-N,relation-label
K1:30KYC7MIAI,Aspartic acid,Aspartic acid (UNII 30KYC7MIAI),UNII 30KYC7MIAI,FDA UNII,aspartic acid,K1:4SR0Q8YD1X,relation-label
K1:321552050N,Cyprolidol,Cyprolidol (with recorded stereochemistry),with recorded stereochemistry,recorded stereochemistry,cyprolidol,K2:KPUSUIKQQCFQCX-UHFFFAOYSA-N,relation-label
K1:32SXB5VH2O,Clenbuterol,Clenbuterol (with recorded stereochemistry),with recorded stereochemistry,recorded stereochemistry,clenbuterol,K1:XTZ6AXU7KN,relation-label
K1:344S277G0Z,Allantoin,Allantoin (recorded without stereochemistry),recorded without stereochemistry,recorded stereochemistry,allantoin,K1:XDK458E1J9,relation-label
K1:34P96M7C4K,Chloroquine,Chloroquine (with recorded stereochemistry),with recorded stereochemistry,recorded stereochemistry,chloroquine,K1:886U3H6UFF,relation-label
K1:361LPM2T56,Sugammadex,Sugammadex (ChEMBL CHEMBL5412674),ChEMBL CHEMBL5412674,ChEMBL molecule identifier,sugammadex,K2:WHRODDIHRRDWEW-ZWYCLXBASA-N,relation-label
K1:388K3TR36Z,Apramycin,Apramycin (ChEMBL CHEMBL1230961),ChEMBL CHEMBL1230961,ChEMBL molecule identifier,apramycin,K2:XZNUGFQTQHRASN-PSDDYZKFSA-N,relation-label
K1:3MVQ8H3X65,Penbutolol,Penbutolol (UNII 3MVQ8H3X65),UNII 3MVQ8H3X65,FDA UNII,penbutolol,K1:78W62V43DY,relation-label
K1:3N1TN351VB,Arterolane,Arterolane (ChEMBL CHEMBL1197433),ChEMBL CHEMBL1197433,ChEMBL molecule identifier,arterolane,K2:VXYZBLXGCYNIHP-CAGINOIPSA-N,relation-label
K1:3O5A4HTP2B,Yohimbine,Yohimbine (structure BLGXFZZNTVWLAY-MQPLHJKPSA-N),structure BLGXFZZNTVWLAY-MQPLHJKPSA-N,InChIKey,yohimbine,K1:2Y49VWD90Q,relation-label
K1:3S814I130U,Ibogaine,Ibogaine (structure HSIBGVUMFOSJPD-CFDPKNGZSA-N),structure HSIBGVUMFOSJPD-CFDPKNGZSA-N,InChIKey,ibogaine,K2:HSIBGVUMFOSJPD-NXWOVTFFSA-N,relation-label
K1:3U21E3V8I2,LINALOOL (+),LINALOOL (+) (structure CDOSHBSSFJOMGT-JTQLQIEISA-N),structure CDOSHBSSFJOMGT-JTQLQIEISA-N,InChIKey,linalool,K1:D81QY6I88E;K1:F4VNO44C09,relation-label
K1:3U8PBH2BON,Rosiglitazone,Rosiglitazone (with recorded stereochemistry),with recorded stereochemistry,recorded stereochemistry,rosiglitazone,K1:05V02F2KDG,relation-label
K1:3X69CO5I79,TETRAHYDROPALMATINE,TETRAHYDROPALMATINE (structure AEQDJSLRWYMAQI-KRWDZBQOSA-N),structure AEQDJSLRWYMAQI-KRWDZBQOSA-N,InChIKey,tetrahydropalmatine,K1:7BLG4NXS54,relation-label
K1:40D3SCR4GZ,Buprenorphine,Buprenorphine (structure RMRJXGBAOAMLHD-IHFGGWKQSA-N),structure RMRJXGBAOAMLHD-IHFGGWKQSA-N,InChIKey,buprenorphine,K2:RMRJXGBAOAMLHD-CTAPUXPBSA-N,relation-label
K1:41684WL1GL,"SULFORAPHANE, (+/-)-","SULFORAPHANE, (+/-)- (recorded without stereochemistry)",recorded without stereochemistry,recorded stereochemistry,sulforaphane,K1:GA49J4310U,relation-label
K1:41VRH5220H,Paroxetine,Paroxetine (UNII M711N184JE),UNII M711N184JE,FDA UNII,paroxetine,K1:58SBH37T77,relation-label
K1:4646B297U7,Halofantrine,Halofantrine (with recorded stereochemistry),with recorded stereochemistry,recorded stereochemistry,halofantrine,K1:Q2OS4303HZ,relation-label
K1:46QG38NC4U,Ethotoin,Ethotoin (recorded without stereochemistry),recorded without stereochemistry,recorded stereochemistry,ethotoin,K1:9H44Z50DS7,relation-label
K1:47MAJ1Y2NE,(-)-LIMONENE,(-)-LIMONENE (ChEMBL CHEMBL236688),ChEMBL CHEMBL236688,ChEMBL molecule identifier,limonene,K1:9MC3I34447;K1:GFD7C86Q1W,relation-label
K1:492M3I304T,Sulopenem Etzadroxil,Sulopenem Etzadroxil (ChEMBL CHEMBL2105663),ChEMBL CHEMBL2105663,ChEMBL molecule identifier,sulopenem etzadroxil,K2:NBPVNGWRLGHULH-JKOUTOBWSA-N,relation-label
K1:4HB8OU08NH,Disopyramide,Disopyramide (with recorded stereochemistry),with recorded stereochemistry,recorded stereochemistry,disopyramide,K1:GFO928U8MQ,relation-label
K1:4SR0Q8YD1X,Aspartic Acid,Aspartic Acid (UNII 4SR0Q8YD1X),UNII 4SR0Q8YD1X,FDA UNII,aspartic acid,K1:30KYC7MIAI,relation-label
K1:4U40Y96J1Z,Indatraline,Indatraline (with recorded stereochemistry),with recorded stereochemistry,recorded stereochemistry,indatraline,K2:SVFXPTLYMIXFRX-UHFFFAOYSA-N,relation-label
K1:50VV3VW0TI,Atenolol,Atenolol (recorded without stereochemistry),recorded without stereochemistry,recorded stereochemistry,atenolol,K1:YG132I00WY,relation-label
K1:5277GPA358,Cenisertib,Cenisertib (with recorded stereochemistry),with recorded stereochemistry,recorded stereochemistry,cenisertib,K2:KSOVGRCOLZZTPF-UHFFFAOYSA-N,relation-label
K1:57B9YG5Y1E,"PHENYLPROPANOLAMINE, (-)-","PHENYLPROPANOLAMINE, (-)- (structure DLNKOYKMWOXYQA-CBAPKCEASA-N)",structure DLNKOYKMWOXYQA-CBAPKCEASA-N,InChIKey,phenylpropanolamine,K1:7875H6443P;K2:DLNKOYKMWOXYQA-UHFFFAOYSA-N,relation-label
K1:58SBH37T77,Paroxetine,Paroxetine (UNII 58SBH37T77),UNII 58SBH37T77,FDA UNII,paroxetine,K1:41VRH5220H,relation-label
K1:5G5QQ725P9,Mefloquine,Mefloquine (with recorded stereochemistry),with recorded stereochemistry,recorded stereochemistry,mefloquine,K2:XEEQGYMUWCZPDN-UHFFFAOYSA-N,relation-label
K1:5HDI847257,Epinastine,Epinastine (with recorded stereochemistry),with recorded stereochemistry,recorded stereochemistry,epinastine,K1:Q13WX941EF,relation-label
K1:5I5Y2789ZF,Viloxazine,Viloxazine (recorded without stereochemistry),recorded without stereochemistry,recorded stereochemistry,viloxazine,K1:HP6E97INCN,relation-label
K1:5IY3F5T1FH,Chlorcyclizine,Chlorcyclizine (with recorded stereochemistry),with recorded stereochemistry,recorded stereochemistry,chlorcyclizine,K1:M26C4IP44P,relation-label
K1:5J49Q6B70F,Vincristine,Vincristine (ChEMBL CHEMBL499458),ChEMBL CHEMBL499458,ChEMBL molecule identifier,vincristine,K2:OGWKCGZFUXNPDA-XQKSVPLYSA-N,relation-label
K1:5MEI1M3NHH,ABT-288,ABT-288 (with recorded stereochemistry),with recorded stereochemistry,recorded stereochemistry,abt 288,K2:GNIRITULTPTAQW-UHFFFAOYSA-N,relation-label
K1:5PX2ESK7OE,Esmolol,Esmolol (with recorded stereochemistry),with recorded stereochemistry,recorded stereochemistry,esmolol,K1:MDY902UXSR,relation-label
K1:6016M93W29,Higenamine,Higenamine (ChEMBL CHEMBL501778),ChEMBL CHEMBL501778,ChEMBL molecule identifier,higenamine,K1:P94O9O6QM5;K1:TBV5O16GAP,relation-label
K1:60BN6CDL0K,BMS-791826,BMS-791826 (ChEMBL CHEMBL4296682),ChEMBL CHEMBL4296682,ChEMBL molecule identifier,bms 791826,K2:DZBKAUMYTFPJIS-HSZRJFAPSA-N,relation-label
K1:646MN6KQ16,CA-170,CA-170 (ChEMBL CHEMBL5095269),ChEMBL CHEMBL5095269,ChEMBL molecule identifier,ca 170,K2:HFOBENSCBRZVSP-NRFSWKIWSA-N,relation-label
K1:67P356D8GH,Acebutolol,Acebutolol (recorded without stereochemistry),recorded without stereochemistry,recorded stereochemistry,acebutolol,K1:856NOF5HE9,relation-label
K1:68QN45K12N,KRYPTON KR 81M,KRYPTON KR 81M (with recorded stereochemistry),with recorded stereochemistry,recorded stereochemistry,krypton kr 81m,HOLD:existing:krypton-kr-81m,relation-label
K1:6C940P63E7,Sparsomycin,Sparsomycin (ChEMBL CHEMBL105720),ChEMBL CHEMBL105720,ChEMBL molecule identifier,sparsomycin,K2:XKLZIVIOZDNKEQ-CKIHNWHUSA-N,relation-label
K1:6J2WVD66KR,Vasoactive Intestinal Peptide,Vasoactive Intestinal Peptide (ChEMBL CHEMBL1981592),ChEMBL CHEMBL1981592,ChEMBL molecule identifier,vasoactive intestinal peptide,K2:VBUWHHLIZKOSMS-KDPLEQQTSA-N,relation-label
K1:6M3C89ZY6R,Nicotine,Nicotine (with recorded stereochemistry),with recorded stereochemistry,recorded stereochemistry,nicotine,K2:SNICXCGAKADSCV-UHFFFAOYSA-N,relation-label
K1:6NH2EV93XU,Terfenadine,Terfenadine (with recorded stereochemistry),with recorded stereochemistry,recorded stereochemistry,terfenadine,K1:7BA5G9Y06Q,relation-label
K1:6OM09RPY36,HAWTHORN LEAF WITH FLOWER,HAWTHORN LEAF WITH FLOWER (single substance record),single substance record,recorded composition,hawthorn leaf with flower,COMBO:NAME:hawthorn leaf with flower,relation-label
K1:6RC5V8B7PO,Trihexyphenidyl,Trihexyphenidyl (recorded without stereochemistry),recorded without stereochemistry,recorded stereochemistry,trihexyphenidyl,K1:2Z97SF443Z,relation-label
K1:6Z1Y2V4A7M,Econazole,Econazole (recorded without stereochemistry),recorded without stereochemistry,recorded stereochemistry,econazole,K1:E3VE9L071S,relation-label
K1:70D2X5QMKK,Isoprenaline,Isoprenaline (with recorded stereochemistry),with recorded stereochemistry,recorded stereochemistry,isoprenaline,K1:L628TT009W,relation-label
K1:72087NSY56,Ephedrine,Ephedrine (UNII 72087NSY56),UNII 72087NSY56,FDA UNII,ephedrine,K1:GN83C131XS,relation-label
